ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio
2114-07-18,70.0,-356688.0,738.0,Ghost,,60.0,-435758.0,9275.0,Parallel,-5.0,Unknown,-460.0,-4.216152813324989,-11.0,-6.0,8.459883482320109,,,313.0,-47.0,692.0,,-9965264.0,-8605920.0,-7339159.0,-96958.0,-1.6367222202440512,,-4366478.0,1.2740210048146206,,,-13.672071415078603
2148-02-07,191.0,,886.0,Time Traveler,,,-270013.0,2703.0,Undefined,,Spaceship,-2732.0,2.4470938325786378,-5.0,1377.0,-1.0250690519127224,0,Alchemy,-3.0,278.0,47.0,-7334555.0,-1248206.0,-3892829.0,-6287326.0,0.0,2.7641131321832697,12.0,-3541598.0,,0.11792363773968029,,
2154-02-16,147.0,-441504.0,25.0,Alien,,134.0,-487834.0,5167.0,,525.0,,7916567.0,5.31604398580734,,116.0,-2.85517460207549,,,-5.0,349.0,788.0,,-1824294.0,-3922249.0,-3490605.0,-30549.0,-1.399598884704734,73.0,-1545227.0,-0.02392046735205061,0.06998694536478303,-284516.7625423884,-249.8297894352552
2178-07-24,109.0,638969641.0,-96.0,,,18.0,-350760.0,3165.0,Complicated,349.0,,-37816.0,,-4.0,,6.937720820628481,no,,-9.0,-6.0,,-6956327.0,-9890174.0,-7810493.0,-1792752.0,0.0,2.8489234609115397,140.0,-10401647.0,0.9337904261295351,,-7357142.786511606,-inf
2117-07-07,,-634457.0,571.0,Time Traveler,,54.0,-983236.0,7313.0,,348.0,Cave,812515.0,6.044436438777917,-13.0,1265.0,4.903290756987081,no,,-1.0,-6.0,416.0,-1193121.0,-7765289.0,-9520828.0,-8954753.0,-94374.0,-1.3476057623867024,36.0,-4278649.0,1.3778288259247193,,2334670.4403332705,-33.34801365135811
,204.0,,1078.0,Time Traveler,Grade -1,99.0,1798573789.0,6054.0,,-7.0,,-48422.0,-3.5605553531007876,-1.0,1192.0,,-1,,,-5.0,989.0,-797900.0,,-7828720.0,-8205697.0,0.0,2.6212619582885655,195.0,-1772685.0,-0.3138158346625265,-0.28322041453235636,,-inf
2170-04-02,117.0,-791976.0,,Ghost,,13.0,,,,934.0,,-18108.0,7.225558327547723,-18.0,-1.0,6.942237640698087,0,,394.0,257.0,405.0,,-1777500.0,-1696371.0,-4657269.0,-16807.0,-0.35472569379170715,165.0,,-0.4588521802548837,0.23179068180813955,inf,-1.0696097666819276e+304
2151-11-12,213.0,566854860.0,,Time Traveler,Unknown,-10.0,850116314.0,3544.0,,498.0,,-12220.0,-3.2008398395372066,-4.0,1850.0,-1.2757063363722225,1,,-5.0,330.0,207.0,-6643498.0,-5299928.0,-8836024.0,-9677770.0,0.0,2.7804262452593655,,-3827399.0,0.17411482340646178,0.33259785208654913,2356223833.834453,inf
2150-06-19,198.0,621044998.0,1030.0,,,20.0,1598047031.0,377.0,,261.0,Spaceship,-30383.0,5.286146887771393,2348.0,-4.0,-3.6212275531095854,no,Time Machine,,216.0,11.0,-6947831.0,-222510.0,-1898935.0,-8398046.0,0.0,-1.1122726110258985,52.0,-420994.0,1.207333140047072,1.3995435700756342,,
2107-07-11,104.0,560553370.0,851.0,,,5.0,1380737259.0,7521.0,Parallel,125.0,,-7918.0,4.700777237075877,-8.0,280.0,-0.7057714016533119,no,Time Machine,-7.0,-3.0,431.0,,-809778.0,-3661612.0,-3968152.0,-29229.0,-0.9022218730085254,109.0,-108523.0,,0.8623691749907635,9922543757.690317,-339475.7206777624
2100-07-09,198.0,250683145.0,481.0,,,100.0,141662694.0,4523.0,,450.0,,-5219.0,,2848.0,400.0,7.0056603650927105,2,,-7.0,-6.0,949.0,-6032657.0,,-53050.0,-7016210.0,-47987.0,2.6520745864038098,126.0,258224.0,2.0663237476753236,4.203153375306109,-496191692.0342138,10340.236127163895
2152-05-06,3.0,-745994.0,1159.0,Alien,Grade -1,-26.0,523330675.0,4936.0,Parallel,704.0,Cave,4264905.0,-1.0170187929604593,2980.0,-5.0,5.189633027423454,no,,456.0,,,-7602039.0,-7529234.0,-1392376.0,,0.0,,140.0,2758318.0,0.031748638653503525,0.3314768404508782,,inf
2197-12-11,-2.0,201784099.0,387.0,Alien,???,54.0,,11.0,,-3.0,Spaceship,6585355.0,3.4824192262739544,-4.0,,,no,,,-43.0,,,-593599.0,-3451786.0,-8833526.0,-96781.0,2.0120284378957494,106.0,742179.0,2.204139079623232,3.704124471792311,,-78.04060199853436
2105-03-15,29.0,-502265.0,892.0,,,83.0,112210878.0,5323.0,,,,-47768.0,-0.6263674738939589,4232.0,-3.0,-4.4470177166552,2,Alchemy,-7.0,128.0,261.0,-5128157.0,-2495007.0,-327000.0,-9259293.0,0.0,2.674474946935703,180.0,239052.0,0.21656687852994339,0.4827634582348569,,-inf
2103-06-22,226.0,795005701.0,,Ghost,Grade -1,68.0,-261705.0,737.0,,-5.0,Unknown,906951.0,4.365918462931193,1883.0,1244.0,3.4744830401560405,0,Alchemy,71.0,-46.0,,-3475471.0,,-3258018.0,-5438054.0,-25865.0,-1.610294361850324,191.0,-1301010.0,0.7131681270357069,0.29614775459697606,inf,-6.950292421659833e+303
2186-05-21,270.0,917430423.0,545.0,Time Traveler,,111.0,-456209.0,8592.0,Parallel,-8.0,Unknown,5329907.0,-4.439431758309019,-14.0,912.0,5.7613362497464085,1,Teleportation,-4.0,-10.0,8.0,-3425531.0,-182662.0,-24473.0,-5864451.0,-38841.0,-1.4153157444322784,164.0,-590006.0,1.1768253170741414,2.4552403347032916,-9334189.482122118,103.09421699034829
2131-03-14,190.0,518792337.0,990.0,Time Traveler,,140.0,437521485.0,8101.0,,,,,-3.0946466178278884,-4.0,1205.0,-4.093094761498103,yes,Alchemy,-2.0,,253.0,-9636123.0,,,-4246254.0,0.0,2.52519148802068,,461897.0,,2.525072003691953,-920644377.3226906,-inf
2109-09-27,,-203815.0,663.0,Alien,Unknown,-42.0,-131842.0,6027.0,Undefined,-3.0,Cave,8737553.0,7.377114456256376,2283.0,-6.0,-3.8362992630458614,1,Alchemy,219.0,-24.0,-16.0,-7681948.0,-1902394.0,,-5765465.0,0.0,-0.46584668492824455,63.0,,-0.41733219981596914,,-980.9134968333199,
2110-08-27,267.0,543795589.0,,,Unknown,9.0,-995199.0,4484.0,Complicated,-7.0,,-35181.0,1.5969592553109577,1900.0,-19.0,,0,Time Machine,238.0,-22.0,597.0,-1902023.0,-8987232.0,-1472787.0,-7147789.0,0.0,-0.832684014749161,55.0,-1963518.0,2.6800092194998495,4.399084538823381,,inf
2184-03-01,224.0,884005404.0,50.0,Alien,,74.0,216934676.0,9332.0,Complicated,-4.0,Unknown,-41615.0,-0.1381725761001089,-13.0,1115.0,,1,,248.0,-25.0,960.0,-7959026.0,-3006129.0,-7780638.0,-1812095.0,0.0,,,-7813289.0,0.50263282700309,0.4227839476457106,764304155.8376932,
2139-09-16,-7.0,-553281.0,658.0,Alien,Grade -1,-2.0,1496111947.0,1438.0,Parallel,,,,,-3.0,1378.0,-2.707937384722708,2,Teleportation,-5.0,-3.0,442.0,-2998297.0,-9828584.0,-4871297.0,-655814.0,-67628.0,-0.6932031891413992,114.0,-10648809.0,-0.023873859981952406,0.19188229259390027,-239231158.66919738,3538.0955768202134
2159-08-17,143.0,450541720.0,655.0,,,0.0,1668022456.0,-105.0,,77.0,,-47916.0,8.386772905628126,-7.0,-2.0,,no,Time Machine,-6.0,-16.0,440.0,-1601264.0,-7793257.0,-3986280.0,,-27750.0,2.8516792992711455,155.0,2601289.0,-0.03618616274478714,1.3167116717684155,-18510478423.822495,667045.9942278377
2129-02-05,18.0,-573092.0,993.0,Ghost,,137.0,779148417.0,,Undefined,762.0,,6754477.0,9.71008754840913,-1.0,-19.0,3.556833840171996,no,,-5.0,-30.0,170.0,-8997908.0,-7624753.0,-8692187.0,-2264076.0,-50810.0,-1.3970004482979894,-10.0,-7317074.0,2.9111437843854833,3.113514175288902,20215747008.195072,-398002.39097018447
2124-01-28,98.0,-372120.0,913.0,Time Traveler,,19.0,-151033.0,1487.0,,-4.0,,-39532.0,-4.495976075657212,2253.0,-1.0,2.9918666867642454,yes,Alchemy,195.0,388.0,72.0,-2587396.0,-6670545.0,-7420875.0,-8515423.0,0.0,1.6843614120191932,165.0,77506.0,-0.06929807912681829,-0.04495106097894479,21.41055268893576,-inf
2123-02-03,87.0,-718838.0,360.0,Ghost,???,-14.0,-21044.0,5815.0,,322.0,Cave,5974893.0,8.458559238953072,-2.0,1873.0,-0.18774477197833583,0,Teleportation,-8.0,365.0,656.0,-5470454.0,-5288519.0,-6824101.0,,-74540.0,,71.0,-2342247.0,0.7129158070124739,0.6875704414411932,,-80.1568687952777
2130-03-01,204.0,-144283.0,93.0,,,-20.0,1304831994.0,1896.0,Parallel,875.0,Unknown,9375445.0,-1.3275379969447454,-5.0,-17.0,4.955007530355184,,Alchemy,310.0,495.0,836.0,-7367542.0,-819433.0,-5836257.0,-7698029.0,0.0,-1.585392191187767,24.0,-81350.0,-0.26332463572105774,-0.6746584391821802,inf,inf
2165-06-06,282.0,145399577.0,718.0,,,118.0,-940479.0,3454.0,,-6.0,,1737899.0,-0.6751572028475987,-14.0,-10.0,-3.473034999623081,0,Teleportation,-8.0,488.0,443.0,-4192654.0,-7359231.0,-4224124.0,-9041544.0,-7464.0,1.9615077721859109,60.0,-4535722.0,2.0741548449518734,4.6710727585904905,-36608715.307720214,4671.8671366184635
,64.0,-26271.0,973.0,,Grade -1,11.0,1197094739.0,7154.0,Parallel,251.0,Unknown,6031143.0,8.337754926216858,-13.0,1800.0,-1.9530364181013846,-1,Alchemy,-7.0,397.0,708.0,-3307999.0,-9276620.0,-2177659.0,-8697179.0,0.0,-0.5044326495692482,97.0,-3254699.0,1.5886307652684395,3.585254318200874,inf,inf
2164-04-18,135.0,-455225.0,,,Grade -1,42.0,-138046.0,9815.0,Complicated,570.0,Unknown,-40351.0,,-16.0,,,yes,,-1.0,-16.0,582.0,-1429108.0,-4524434.0,-3906856.0,-7977557.0,-74046.0,-1.3095598788916467,75.0,-4470391.0,1.3674911931815947,,,0.5449450341679497
2146-12-25,117.0,,232.0,Alien,,135.0,-339608.0,3671.0,Complicated,-2.0,Cave,8061881.0,7.476879156963679,-15.0,931.0,-0.9179352262071792,0,Time Machine,415.0,-40.0,279.0,-631927.0,-4031149.0,-4152867.0,-1690701.0,0.0,2.0742962039588573,170.0,-3716295.0,2.495441203556065,,,inf
2139-10-25,31.0,373523995.0,-142.0,Ghost,Unknown,-37.0,235231023.0,6286.0,,499.0,,,-3.28555335201972,-3.0,-6.0,-4.769634340724138,1,,,-41.0,921.0,-907050.0,,-8671814.0,-3707210.0,-78042.0,2.6415500470851034,14.0,-11747218.0,1.5066787023572301,2.8506919651289495,,0.4718869326772763
2198-05-07,30.0,325039234.0,768.0,,???,113.0,644532346.0,,Undefined,137.0,,3171708.0,,372.0,,5.539457842284655,1,,245.0,-46.0,-41.0,-7973702.0,,-1129247.0,-7528093.0,0.0,-1.9924285327352065,31.0,204104.0,2.8443582557422453,6.286134877446257,inf,inf
2172-08-22,23.0,,635.0,,Grade -1,113.0,1697153357.0,1241.0,,-3.0,,,,1561.0,1907.0,-1.3987317826409154,1,Alchemy,-3.0,414.0,,-6038302.0,-993330.0,-406631.0,-6670638.0,-18933.0,-1.23947594797673,140.0,-1467339.0,1.6797303066918259,5.319219293152875,,-467.04737759467594
2104-05-05,6.0,-14860.0,-2.0,Ghost,,28.0,-741373.0,4353.0,Parallel,-3.0,,2240050.0,-1.9556645268538349,-3.0,-12.0,7.065103994585343,1,,,-24.0,934.0,-9559208.0,-2574410.0,-3641606.0,-2569108.0,-91953.0,2.8409528792919594,-2.0,-6500169.0,0.740191405832421,,1299610.043646606,-38.494231222979195
2110-10-19,154.0,122074556.0,14.0,,,-43.0,-797843.0,5174.0,,-1.0,Cave,-7734.0,-0.49797340717466376,4650.0,,-4.43612485764954,0,,-4.0,229.0,618.0,-2059786.0,-5713384.0,-4990780.0,-1084991.0,-38868.0,-1.5641827565882063,144.0,-4899592.0,-0.3713859149881158,,inf,-4.625123841881022e+303
2165-07-18,142.0,-949404.0,697.0,,Grade -1,103.0,-916035.0,,Complicated,-2.0,Cave,3516698.0,,-13.0,-16.0,,2,Time Machine,120.0,-27.0,180.0,,-7471203.0,-956472.0,-6314206.0,-18985.0,2.638871477952514,192.0,-3444825.0,2.0384646219886915,4.574757150741792,inf,-9.469018355872087e+303
2153-04-10,65.0,-556372.0,271.0,Time Traveler,Unknown,,,7199.0,Undefined,507.0,Spaceship,-24966.0,9.839660508846308,-7.0,-17.0,-3.7524999688136096,,,-2.0,,988.0,-9821032.0,-729180.0,,,0.0,-0.1152703068489549,40.0,-8066819.0,0.8077580782538978,1.2175360568919917,978756.9438678573,inf
2102-10-19,76.0,-854141.0,46.0,,Unknown,-3.0,-325888.0,8547.0,Undefined,360.0,Cave,-10382.0,8.297597976693003,-5.0,973.0,-4.991630979581614,1,,,447.0,436.0,-3151001.0,-2883902.0,-3562661.0,-7899809.0,0.0,2.4939903223820794,46.0,-294438.0,1.597207627927065,3.0126547173832545,,inf
2131-11-28,106.0,461874095.0,181.0,Alien,???,34.0,,9361.0,,-8.0,Spaceship,,1.2897968481101576,-8.0,-12.0,3.3024022835500118,0,,-8.0,217.0,391.0,-2584309.0,-3453610.0,-1111839.0,-5850421.0,-93545.0,-0.30458256355176094,71.0,3035772.0,2.567218745489906,4.991782039492019,,-43.99351114436902
2136-09-26,16.0,-147736.0,790.0,,???,,1938775857.0,8400.0,Complicated,791.0,,-36826.0,3.7329421946533037,3973.0,100.0,9.712725850445569,,,-1.0,497.0,827.0,-7675173.0,,-4252221.0,,0.0,,153.0,-4945269.0,-0.47319619314841005,0.12431048660920152,,-inf
2126-07-16,276.0,884486965.0,1062.0,Ghost,,145.0,-822485.0,9911.0,,-7.0,,5810092.0,-4.172401321975451,-7.0,198.0,-3.754066566529357,no,,-6.0,-19.0,223.0,-4759918.0,-4926813.0,-432587.0,-7016806.0,-2791.0,-1.6511924007081034,151.0,-1279583.0,2.158643601854008,2.8608619602295144,,-2784.284739448039
2118-10-27,123.0,,726.0,,Unknown,139.0,940558390.0,1066.0,,-1.0,,-36727.0,-4.278743429417043,-19.0,-8.0,6.2036928082872125,0,Time Machine,-9.0,111.0,567.0,-6605950.0,-868902.0,-3347810.0,,-59806.0,-0.2224208233721805,,-2771757.0,1.0234967128963723,2.464141140122925,,0.6141022639868909
,208.0,107838941.0,1190.0,Ghost,Unknown,0.0,1289475687.0,3294.0,Undefined,-6.0,Spaceship,7009146.0,3.1257991891668295,2584.0,-10.0,,1,,,-13.0,976.0,,-7117989.0,-7873967.0,,0.0,-1.0085906284350643,172.0,-14966203.0,,1.057059772120717,,inf
2100-06-11,157.0,-142158.0,991.0,Ghost,???,53.0,-139117.0,5366.0,,547.0,,-24683.0,5.631315207664598,2862.0,1165.0,-0.40031466410377714,-1,Alchemy,-2.0,196.0,,-9773239.0,-881316.0,-2505558.0,-9820893.0,-27246.0,-0.2096957493751741,163.0,3714499.0,1.5386020870374701,1.8179174729727356,,0.9059311458562724
2172-09-17,87.0,,359.0,Alien,Grade -1,119.0,,3416.0,,-6.0,Unknown,568205.0,8.658281630465757,-10.0,-18.0,-3.8373352630735766,0,Teleportation,50.0,-33.0,202.0,-4582637.0,-6741135.0,-3929853.0,-3698089.0,-83594.0,2.702799859989189,169.0,-4863152.0,1.3641522325316549,1.3237668390404473,inf,-2.1505049822503e+303
2192-06-10,257.0,-351890.0,874.0,Time Traveler,Grade -1,,-30714.0,1653.0,Complicated,-3.0,Cave,1273788.0,-2.005166818380623,-13.0,-10.0,-2.6623258861094934,yes,Alchemy,397.0,-28.0,835.0,-516160.0,-6472262.0,-6674882.0,-5692607.0,-31337.0,-0.1671289556473845,,,2.448078133499583,5.620655200823811,inf,-5.736647205738634e+303
2189-04-10,226.0,-190168.0,488.0,Alien,,-22.0,1026165737.0,9916.0,,-7.0,Spaceship,9529094.0,-4.098101155624644,-4.0,-7.0,8.244771943152106,yes,Alchemy,-4.0,202.0,397.0,-9857759.0,-5565060.0,-2529155.0,-1222548.0,-51516.0,2.901549845987851,,-2819793.0,1.3254696008533284,1.4118687594928954,,-184.97348396614643
2131-08-01,298.0,269397359.0,179.0,,???,76.0,,5295.0,,429.0,,-25932.0,,-19.0,1947.0,-0.6040025431488889,-1,,433.0,-28.0,322.0,-3119337.0,-8565571.0,-9621766.0,-2461233.0,0.0,-1.6892590251563044,100.0,-10594332.0,2.3957315452380956,6.0337720115953015,-18726163.408020027,-inf
2179-10-01,162.0,-676514.0,273.0,Ghost,,31.0,-271706.0,2438.0,Parallel,564.0,Unknown,7968654.0,5.600548473993832,-10.0,705.0,-3.4537076273361933,no,Alchemy,-5.0,-25.0,418.0,-5469651.0,-8505714.0,-9808614.0,-286343.0,-35583.0,2.231889216985582,147.0,-9768466.0,1.4057123617982934,2.7906507055892957,inf,-5.0521123425858296e+303
2170-10-12,,,,,???,-41.0,1520301053.0,5787.0,Complicated,-3.0,,-47256.0,9.023517188372175,-7.0,-11.0,2.199330237487448,no,Alchemy,-7.0,-20.0,709.0,-5240903.0,-7781490.0,-4519333.0,-2392568.0,,1.6084214531494636,34.0,-6115217.0,1.064309541711038,2.550583345407702,,
,111.0,566031674.0,496.0,,,55.0,-356439.0,4959.0,,-7.0,Cave,-41744.0,5.195774255721707,713.0,1159.0,4.089751653123215,0,Time Machine,31.0,448.0,782.0,-8518668.0,-8771750.0,-5399852.0,-1291744.0,-98653.0,2.3425685794466498,27.0,-6421742.0,0.7991436523158666,2.027362244643073,,0.4231396916464781
2166-05-28,35.0,,,Ghost,Unknown,116.0,160476120.0,,,443.0,,-36886.0,,2996.0,276.0,6.393251650259404,-1,Time Machine,146.0,256.0,,-5227217.0,-9423788.0,-9241742.0,-589245.0,0.0,-0.025608051162627765,9.0,,0.10794103371753083,0.3707535644886155,,-inf
2166-06-20,53.0,-226454.0,710.0,Alien,,-50.0,1513824991.0,6604.0,Complicated,70.0,Unknown,2583057.0,9.264433679283764,4044.0,-8.0,-4.950001022720984,0,,379.0,,430.0,-1149517.0,-206367.0,-6283535.0,-525293.0,0.0,2.1153728023220144,,-6203470.0,1.5441080815509562,3.439211966657166,43386375203.93231,inf
2163-08-26,119.0,980643968.0,759.0,Time Traveler,???,-12.0,546135051.0,,,-2.0,Spaceship,-10089.0,4.61382866597405,-11.0,1008.0,4.194847887261953,0,,-4.0,,479.0,-1620412.0,-7428590.0,,-9743554.0,-20518.0,-1.3571960166843113,86.0,2244936.0,1.4048759992999156,2.7367820692066998,inf,-8.761541743163641e+303
2166-07-14,299.0,-136646.0,277.0,Alien,Unknown,-30.0,-633487.0,,Complicated,576.0,,8706583.0,5.629956157831263,-10.0,1641.0,8.614413331006913,-1,,88.0,-42.0,439.0,-2891706.0,-743450.0,-8906813.0,-2390504.0,0.0,-1.6974124086092188,164.0,-12552344.0,2.9150887805932326,2.725317633556868,-14387110.764408665,-inf
2123-05-10,182.0,452040135.0,803.0,Ghost,Grade -1,14.0,404311442.0,9090.0,Parallel,392.0,Cave,5367016.0,4.09397356626996,-13.0,641.0,-2.9476501080661204,no,,-5.0,255.0,452.0,-7391826.0,-2261518.0,-3191315.0,-1728039.0,-93630.0,2.703954898219294,91.0,-6634917.0,0.9434308026656557,2.9318814267987063,,-57.32154224073481
2147-04-07,296.0,863315511.0,725.0,Ghost,Grade -1,-36.0,574523563.0,9861.0,,-8.0,Cave,-30577.0,7.0329708825584225,4354.0,-9.0,-1.399725623900304,2,Time Machine,,342.0,958.0,-9748398.0,,-7251691.0,-2216632.0,,-1.5588686788827484,48.0,-9349368.0,0.9753314208315449,1.303974802653601,,-inf
2125-05-18,170.0,730661109.0,506.0,Time Traveler,,81.0,-941951.0,3404.0,Parallel,251.0,Cave,3676731.0,9.956274780053112,-10.0,1812.0,9.619131187009037,1,,-1.0,176.0,66.0,-7867436.0,-1372207.0,-9504647.0,-3004236.0,0.0,-1.0116935528038085,196.0,-7975347.0,0.07354984739258175,-0.21529210112237188,inf,inf
,281.0,-342222.0,1037.0,,???,137.0,,3384.0,,169.0,,-41320.0,-3.2268645277844072,568.0,77.0,5.132454355440798,1,Teleportation,42.0,-1.0,,-5123355.0,-3116263.0,-2436932.0,-4206756.0,0.0,-0.4362145830193449,196.0,-3967169.0,1.5915004411075557,1.5893243067728573,468266.5938152539,inf
2133-05-13,271.0,636783906.0,1192.0,,???,10.0,-209574.0,8878.0,,698.0,,3526695.0,9.118662452862493,4483.0,170.0,-2.752027478165084,1,Time Machine,,-30.0,868.0,-6174094.0,-7030044.0,-866211.0,,0.0,-0.6797392220988934,,2747415.0,2.467482941629942,4.85011139372094,-8470477.043563936,-inf
2158-03-01,18.0,-338768.0,653.0,Time Traveler,Grade -1,97.0,1556820026.0,5869.0,,-1.0,,-19676.0,1.2345493015055355,1919.0,1563.0,,,Alchemy,446.0,-32.0,853.0,-392386.0,-19580.0,-424994.0,-2761107.0,-29457.0,-1.1281301904365422,31.0,-507234.0,,0.6745387336827028,inf,-6.102770597353144e+303
2123-06-21,138.0,694211202.0,937.0,,,87.0,,2546.0,Undefined,-7.0,,2301401.0,-3.681508722744665,3860.0,-2.0,2.507589081049807,0,,352.0,-23.0,377.0,-9662484.0,-2491829.0,-3879722.0,-7535954.0,-28213.0,1.9270099372569613,178.0,-2165479.0,-0.46822734774170954,-0.47244597365012053,9.056223317846972e-36,
2107-01-13,256.0,,,,Unknown,36.0,,8476.0,Undefined,-2.0,Unknown,-25806.0,2.683739895347726,962.0,902.0,8.180156836424185,0,Time Machine,-3.0,-39.0,443.0,-9739135.0,-4309352.0,-7459820.0,-271929.0,0.0,-0.08568615526398604,48.0,-14629166.0,1.9201576817104886,1.9844548491633607,inf,
2105-07-21,285.0,345438700.0,553.0,,,54.0,,7020.0,,-8.0,,,-3.15123746013486,3984.0,673.0,8.686556254605586,yes,Time Machine,234.0,-10.0,11.0,-6660304.0,-5366527.0,-5034982.0,-4827507.0,0.0,2.410133521712857,,-8898738.0,-0.39019172921872336,-0.5975941594710399,inf,inf
2107-05-20,0.0,330359655.0,302.0,,,-17.0,-576862.0,8665.0,,873.0,Cave,-20759.0,1.6453753986631265,4952.0,-1.0,5.936695190781087,0,Teleportation,142.0,,446.0,,-4593252.0,-9821999.0,-8985284.0,0.0,2.454920969573413,46.0,,0.9324670476200563,3.2656396151779044,inf,inf
2114-05-26,153.0,571070214.0,616.0,,Grade -1,73.0,-348692.0,6775.0,,283.0,Unknown,-49606.0,6.070667591542087,-14.0,,-1.646810791991673,no,,-8.0,-21.0,585.0,,-5064301.0,-8257894.0,-4467582.0,0.0,2.8184281846231682,139.0,-11204062.0,1.644486182037618,3.51671004506693,,-inf
